ccaa;provincia;paro_agricultura;paro_construccion;paro_industria;paro_servicios;paro_total
Andalucía;Almería;6770;5199;2169;38220;57358
Andalucía;Cádiz;5600;14333;8953;98758;146204
Andalucía;Córdoba;7146;5817;6167;44050;70301
Andalucía;Granada;7649;8299;4254;54407;83118
Andalucía;Huelva;9215;3799;2162;29390;48136
Andalucía;Jaén;8748;2855;3718;30263;50845
Andalucía;Málaga;3659;14038;6724;103887;143896
Andalucía;Sevilla;11587;16839;11647;126715;187256
Aragón;Huesca;788;579;732;5966;8725
Aragón;Teruel;331;432;742;3669;5604
Aragón;Zaragoza;2806;3039;5757;34829;50906
Asturias, Principado de;Asturias;1352;5393;5772;50724;70062
Balears, Illes;Balears, Illes;678;5469;2176;39791;50586
Canarias;Palmas, Las;1988;10085;4179;83031;108264
Canarias;Santa Cruz de Tenerife;2507;10471;3956;75789;101867
Cantabria;Cantabria;605;2642;2891;26827;35877
Castilla - La Mancha;Albacete;3160;2038;3535;22699;34145
Castilla - La Mancha;Ciudad Real;6054;3600;3878;31085;48728
Castilla - La Mancha;Cuenca;1646;848;1108;8248;12790
Castilla - La Mancha;Guadalajara;306;1012;1092;11612;14997
Castilla - La Mancha;Toledo;3904;4528;6271;41440;61177
Castilla y León;Burgos;1285;1143;2516;12466;18590
Castilla y León;León;1711;2002;2757;19269;28855
Castilla y León;Palencia;621;434;768;5843;8541
Castilla y León;Salamanca;637;1473;1433;16661;22561
Castilla y León;Segovia;476;369;498;4608;6506
Castilla y León;Soria;200;184;421;2302;3400
Castilla y León;Valladolid;2343;1627;2610;19640;29237
Castilla y León;Zamora;862;848;821;7467;10979
Castilla y León;Ávila;639;1046;674;7349;10867
Cataluña;Barcelona;2671;21639;33651;205723;283743
Cataluña;Girona;1018;3413;3623;26567;36809
Cataluña;Lleida;2686;1413;1740;13194;20379
Cataluña;Tarragona;2223;3834;4318;32957;46336
Ceuta;Ceuta;78;488;426;8998;12149
Comunitat Valenciana;Alicante/Alacant;5204;12829;22216;97746;147276
Comunitat Valenciana;Castellón/Castelló;1550;2908;4645;26805;39175
Comunitat Valenciana;Valencia/Valéncia;5201;11844;21557;128356;177863
Extremadura;Badajoz;8270;4272;3766;46489;66650
Extremadura;Cáceres;2782;3241;2219;23789;34064
Galicia;Coruña, A;1636;5381;6829;45273;64794
Galicia;Lugo;737;1342;1212;11279;16046
Galicia;Ourense;1040;1432;2151;12280;18730
Galicia;Pontevedra;2393;4571;7967;44742;64737
Madrid, Comunidad de;Madrid;2766;26289;21089;271814;345986
Melilla;Melilla;81;565;138;7320;9985
Murcia, Región de;Murcia;7336;7748;10600;64945;99819
Navarra, Comunidad Foral de;Navarra;1958;1591;4298;21196;31858
País Vasco;Araba/Álava;753;1112;2257;12362;19037
País Vasco;Bizkaia;1193;5331;7206;44021;66039
País Vasco;Gipuzkoa;601;1537;4228;20506;30265
Rioja, La;Rioja, La;1865;781;2765;9253;15541
