;codigo_ccaa;codigo_provincia;ambito_territorial;poblacion_derecho;n_diputados;numero_mesas;censo_ine;censo_escrutinio;participacion_2;votos_blancos;votos_nulos;votos_candidaturas;denominacion;siglas;votos;diputados;porcentaje_participacion;porcentaje_votos_partido;porcentaje_votos_nulos;porcentaje_votos_blancos;porcentaje_diputados_obtenidos
99;1;99;Andalucía;8384408;61;10128;6579357;6579380;3471035;50672;65040;4221012;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;1425126;25;52.76;41.06;1.87;1.46;40.98
100;1;99;Andalucía;8384408;61;10128;6579357;6579380;3471035;50672;65040;4221012;PARTIDO POPULAR;PP;877202;15;52.76;25.27;1.87;1.46;24.59
101;1;99;Andalucía;8384408;61;10128;6579357;6579380;3471035;50672;65040;4221012;VOX;VOX;869909;12;52.76;25.06;1.87;1.46;19.67
102;1;99;Andalucía;8384408;61;10128;6579357;6579380;3471035;50672;65040;4221012;UNIDAS PODEMOS;PODEMOS-IU LV CA;559628;6;52.76;16.12;1.87;1.46;9.84
103;1;99;Andalucía;8384408;61;10128;6579357;6579380;3471035;50672;65040;4221012;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;346094;3;52.76;9.97;1.87;1.46;4.92
104;1;99;Andalucía;8384408;61;10128;6579357;6579380;3471035;50672;65040;4221012;MÁS PAÍS-ANDALUCÍA;MÁS PAÍS-AN;56445;0;52.76;1.63;1.87;1.46;0.0
105;1;99;Andalucía;8384408;61;10128;6579357;6579380;3471035;50672;65040;4221012;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;47485;0;52.76;1.37;1.87;1.46;0.0
106;1;99;Andalucía;8384408;61;10128;6579357;6579380;3471035;50672;65040;4221012;ANDALUCÍA POR SÍ;AxSÍ;14046;0;52.76;0.4;1.87;1.46;0.0
107;1;99;Andalucía;8384408;61;10128;6579357;6579380;3471035;50672;65040;4221012;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;6045;0;52.76;0.17;1.87;1.46;0.0
108;1;99;Andalucía;8384408;61;10128;6579357;6579380;3471035;50672;65040;4221012;PARTIDO COMUNISTA OBRERO ESPAÑOL;PCOE;6025;0;52.76;0.17;1.87;1.46;0.0
109;1;99;Andalucía;8384408;61;10128;6579357;6579380;3471035;50672;65040;4221012;POR UN MUNDO MÁS JUSTO;PUM+J;5256;0;52.76;0.15;1.87;1.46;0.0
110;1;99;Andalucía;8384408;61;10128;6579357;6579380;3471035;50672;65040;4221012;PARTIDO COMUNISTA DEL PUEBLO ANDALUZ;PCPA;3439;0;52.76;0.1;1.87;1.46;0.0
111;1;99;Andalucía;8384408;61;10128;6579357;6579380;3471035;50672;65040;4221012;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;PCTE;2157;0;52.76;0.06;1.87;1.46;0.0
112;1;99;Andalucía;8384408;61;10128;6579357;6579380;3471035;50672;65040;4221012;ESCAÑOS EN BLANCO;EB;1273;0;52.76;0.04;1.87;1.46;0.0
113;1;99;Andalucía;8384408;61;10128;6579357;6579380;3471035;50672;65040;4221012;CONVERGENCIA ANDALUZA;CAnda;520;0;52.76;0.01;1.87;1.46;0.0
114;1;99;Andalucía;8384408;61;10128;6579357;6579380;3471035;50672;65040;4221012;PARTIDO REPUBLICANO INDEPENDIENTE SOLIDARIO ANDALUZ;RISA;249;0;52.76;0.01;1.87;1.46;0.0
115;1;99;Andalucía;8384408;61;10128;6579357;6579380;3471035;50672;65040;4221012;IZQUIERDA ANTICAPITALISTA REVOLUCIONARIA;IZAR;113;0;52.76;0.0;1.87;1.46;0.0
159;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;215361;6;55.8;37.85;1.07;1.19;46.15
160;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;PARTIDO POPULAR;PP;167233;4;55.8;29.39;1.07;1.19;30.77
161;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;VOX;VOX;118936;1;55.8;20.9;1.07;1.19;7.69
162;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;UNIDAS PODEMOS;PODEMOS-IU;75892;1;55.8;13.34;1.07;1.19;7.69
163;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;59977;0;55.8;10.54;1.07;1.19;0.0
164;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO;M PAÍS-CHA-;23196;0;55.8;4.08;1.07;1.19;0.0
165;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;AGRUPACIÓN DE ELECTORES TERUEL EXISTE;¡TERUEL EXI;19761;1;55.8;3.47;1.07;1.19;7.69
166;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;4565;0;55.8;0.8;1.07;1.19;0.0
167;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;ESCAÑOS EN BLANCO;EB;2333;0;55.8;0.41;1.07;1.19;0.0
168;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;CHUNTA ARAGONESISTA;CHA;2000;0;55.8;0.35;1.07;1.19;0.0
169;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;MOVIMIENTO ARAGONES SOCIAL;MAS;1068;0;55.8;0.19;1.07;1.19;0.0
170;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;1059;0;55.8;0.19;1.07;1.19;0.0
171;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;POR UN MUNDO MÁS JUSTO;PUM+J;673;0;55.8;0.12;1.07;1.19;0.0
172;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;PUYALON;PYLN;630;0;55.8;0.11;1.07;1.19;0.0
173;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;PCTE;500;0;55.8;0.09;1.07;1.19;0.0
174;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA;PCPE;476;0;55.8;0.08;1.07;1.19;0.0
175;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓN;FIA;461;0;55.8;0.08;1.07;1.19;0.0
176;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;PARTIDO COMUNISTA OBRERO ESPAÑOL;PCOE;96;0;55.8;0.02;1.07;1.19;0.0
177;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;UNIÓN DE TODOS;UDT;26;0;55.8;0.0;1.07;1.19;0.0
178;2;99;Aragón;1308728;13;2167;1019757;1019762;569045;6755;6080;694256;AUNA COMUNITAT VALENCIANA;AUNACV;13;0;55.8;0.0;1.07;1.19;0.0
192;3;99;Principado de Asturias;1028244;7;1541;972579;972580;456786;7041;5486;552704;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;186211;3;46.97;40.77;1.2;1.54;42.86
193;3;99;Principado de Asturias;1028244;7;1541;972579;972580;456786;7041;5486;552704;PARTIDO POPULAR-FORO;PP-FORO;129945;2;46.97;28.45;1.2;1.54;28.57
194;3;99;Principado de Asturias;1028244;7;1541;972579;972580;456786;7041;5486;552704;UNIDAS PODEMOS-XUNÍES PODEMOS;PODEMOS-IX;89301;1;46.97;19.55;1.2;1.54;14.29
195;3;99;Principado de Asturias;1028244;7;1541;972579;972580;456786;7041;5486;552704;VOX;VOX;88788;1;46.97;19.44;1.2;1.54;14.29
196;3;99;Principado de Asturias;1028244;7;1541;972579;972580;456786;7041;5486;552704;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;37374;0;46.97;8.18;1.2;1.54;0.0
197;3;99;Principado de Asturias;1028244;7;1541;972579;972580;456786;7041;5486;552704;MÁS PAÍS-EQUO;MÁS PAÍS-EQ;12732;0;46.97;2.79;1.2;1.54;0.0
198;3;99;Principado de Asturias;1028244;7;1541;972579;972580;456786;7041;5486;552704;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;4412;0;46.97;0.97;1.2;1.54;0.0
199;3;99;Principado de Asturias;1028244;7;1541;972579;972580;456786;7041;5486;552704;ANDECHA ASTUR;ANDECHA;887;0;46.97;0.19;1.2;1.54;0.0
200;3;99;Principado de Asturias;1028244;7;1541;972579;972580;456786;7041;5486;552704;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;PCTE;843;0;46.97;0.18;1.2;1.54;0.0
201;3;99;Principado de Asturias;1028244;7;1541;972579;972580;456786;7041;5486;552704;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;732;0;46.97;0.16;1.2;1.54;0.0
202;3;99;Principado de Asturias;1028244;7;1541;972579;972580;456786;7041;5486;552704;PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA;PCPE;626;0;46.97;0.14;1.2;1.54;0.0
203;3;99;Principado de Asturias;1028244;7;1541;972579;972580;456786;7041;5486;552704;POR UN MUNDO MÁS JUSTO;PUM+J;487;0;46.97;0.11;1.2;1.54;0.0
204;3;99;Principado de Asturias;1028244;7;1541;972579;972580;456786;7041;5486;552704;PARTIDO HUMANISTA;PH;366;0;46.97;0.08;1.2;1.54;0.0
205;4;7;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;115567;2;45.74;31.3;1.19;1.26;25.0
206;4;7;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;PARTIDO POPULAR;PP;103722;2;45.74;28.09;1.19;1.26;25.0
207;4;7;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;UNIDAS PODEMOS-UNIDES PODEM;PODEMOS-EUIB;82225;2;45.74;22.27;1.19;1.26;25.0
208;4;7;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;VOX;VOX;77520;2;45.74;21.0;1.19;1.26;25.0
209;4;7;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;33451;0;45.74;9.06;1.19;1.26;0.0
210;4;7;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;MÉS ESQUERRA;MÉS-ESQUERR;18295;0;45.74;4.96;1.19;1.26;0.0
211;4;7;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;MÁS PAÍS;M PAÍS;10652;0;45.74;2.89;1.19;1.26;0.0
212;4;7;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;6207;0;45.74;1.68;1.19;1.26;0.0
213;4;7;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;947;0;45.74;0.26;1.19;1.26;0.0
214;4;7;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;POR UN MUNDO MÁS JUSTO;PUM+J;573;0;45.74;0.16;1.19;1.26;0.0
215;4;7;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;PARTIDO LIBERTARIO;P-LIB;372;0;45.74;0.1;1.19;1.26;0.0
216;4;99;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;115567;2;45.74;31.3;1.19;1.26;25.0
217;4;99;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;PARTIDO POPULAR;PP;103722;2;45.74;28.09;1.19;1.26;25.0
218;4;99;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;UNIDAS PODEMOS-UNIDES PODEM;PODEMOS-EUIB;82225;2;45.74;22.27;1.19;1.26;25.0
219;4;99;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;VOX;VOX;77520;2;45.74;21.0;1.19;1.26;25.0
220;4;99;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;33451;0;45.74;9.06;1.19;1.26;0.0
221;4;99;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;MÉS ESQUERRA;MÉS-ESQUERR;18295;0;45.74;4.96;1.19;1.26;0.0
222;4;99;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;MÁS PAÍS;M PAÍS;10652;0;45.74;2.89;1.19;1.26;0.0
223;4;99;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;6207;0;45.74;1.68;1.19;1.26;0.0
224;4;99;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;947;0;45.74;0.26;1.19;1.26;0.0
225;4;99;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;POR UN MUNDO MÁS JUSTO;PUM+J;573;0;45.74;0.16;1.19;1.26;0.0
226;4;99;Illes Balears;1128908;8;1215;807164;807170;369208;4668;4393;449531;PARTIDO LIBERTARIO;P-LIB;372;0;45.74;0.1;1.19;1.26;0.0
258;5;99;Canarias;2127685;15;2818;1726859;1726866;700306;7355;9869;940152;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;273596;5;40.55;39.07;1.41;1.05;33.33
259;5;99;Canarias;2127685;15;2818;1726859;1726866;700306;7355;9869;940152;PARTIDO POPULAR;PP;196809;4;40.55;28.1;1.41;1.05;26.67
260;5;99;Canarias;2127685;15;2818;1726859;1726866;700306;7355;9869;940152;UNIDAS PODEMOS;PODEMOS-IU;139261;2;40.55;19.89;1.41;1.05;13.33
261;5;99;Canarias;2127685;15;2818;1726859;1726866;700306;7355;9869;940152;COALICIÓN CANARIA-NUEVA CANARIAS;CCa-PNC-NC;124289;2;40.55;17.75;1.41;1.05;13.33
262;5;99;Canarias;2127685;15;2818;1726859;1726866;700306;7355;9869;940152;VOX;VOX;118006;2;40.55;16.85;1.41;1.05;13.33
263;5;99;Canarias;2127685;15;2818;1726859;1726866;700306;7355;9869;940152;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;50997;0;40.55;7.28;1.41;1.05;0.0
264;5;99;Canarias;2127685;15;2818;1726859;1726866;700306;7355;9869;940152;MÁS PAÍS-EQUO;MÁS PAÍS-EQ;14972;0;40.55;2.14;1.41;1.05;0.0
265;5;99;Canarias;2127685;15;2818;1726859;1726866;700306;7355;9869;940152;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;11946;0;40.55;1.71;1.41;1.05;0.0
266;5;99;Canarias;2127685;15;2818;1726859;1726866;700306;7355;9869;940152;LOS VERDES;VERDES;3186;0;40.55;0.45;1.41;1.05;0.0
267;5;99;Canarias;2127685;15;2818;1726859;1726866;700306;7355;9869;940152;AHORA CANARIAS: Alternativa Nacionalista Canaria (ANC) y Unidad del Pueblo;AHORA CANARIAS;2032;0;40.55;0.29;1.41;1.05;0.0
