;codigo_ccaa;codigo_provincia;ambito_territorial;poblacion_derecho;n_diputados;numero_mesas;censo_ine;censo_escrutinio;participacion_2;votos_blancos;votos_nulos;votos_candidaturas;denominacion;siglas;votos;diputados;porcentaje_participacion;porcentaje_votos_partido;porcentaje_votos_nulos;porcentaje_votos_blancos;porcentaje_diputados_obtenidos
0;1;4;Almería;709340;6;809;502621;502627;242961;2661;2990;299763;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;89295;2;48.34;36.75;1.23;1.1;33.33
1;1;4;Almería;709340;6;809;502621;502627;242961;2661;2990;299763;VOX;VOX;80714;2;48.34;33.22;1.23;1.1;33.33
2;1;4;Almería;709340;6;809;502621;502627;242961;2661;2990;299763;PARTIDO POPULAR;PP;78072;2;48.34;32.13;1.23;1.1;33.33
3;1;4;Almería;709340;6;809;502621;502627;242961;2661;2990;299763;UNIDAS PODEMOS;PODEMOS-IU LV CA;24400;0;48.34;10.04;1.23;1.1;0.0
4;1;4;Almería;709340;6;809;502621;502627;242961;2661;2990;299763;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;22835;0;48.34;9.4;1.23;1.1;0.0
5;1;4;Almería;709340;6;809;502621;502627;242961;2661;2990;299763;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;2582;0;48.34;1.06;1.23;1.1;0.0
6;1;4;Almería;709340;6;809;502621;502627;242961;2661;2990;299763;ESCAÑOS EN BLANCO;EB;513;0;48.34;0.21;1.23;1.1;0.0
7;1;4;Almería;709340;6;809;502621;502627;242961;2661;2990;299763;POR UN MUNDO MÁS JUSTO;PUM+J;371;0;48.34;0.15;1.23;1.1;0.0
8;1;4;Almería;709340;6;809;502621;502627;242961;2661;2990;299763;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;360;0;48.34;0.15;1.23;1.1;0.0
9;1;4;Almería;709340;6;809;502621;502627;242961;2661;2990;299763;ANDALUCÍA POR SÍ;AxSÍ;318;0;48.34;0.13;1.23;1.1;0.0
10;1;4;Almería;709340;6;809;502621;502627;242961;2661;2990;299763;PARTIDO COMUNISTA DEL PUEBLO ANDALUZ;PCPA;303;0;48.34;0.12;1.23;1.1;0.0
