"tipo_eleccion";"anno";"mes";"vuelta";"codigo_ccaa";"codigo_provincia";"codigo_distrito_electoral";"ambito_territorial";"poblacion_derecho";"n_diputados";"numero_mesas";"censo_ine";"censo_escrutinio";"censo_cere";"votantes_cere";"participacion_1";"participacion_2";"votos_blancos";"votos_nulos";"votos_candidaturas";"votos_afirmativos";"votos_negativos";"codigo_partido_nacional";"codigo_partido_autonomia";"codigo_partido_provincia";"codigo_partido";"denominacion";"siglas";"votos";"diputados";"datos_oficiales"
"02";"2019";"11";"1";"01";"04";"9";"Almería";709340;6;809;502621;502627;0;0;165047;242961;2661;2990;299763;0;0;"000094";"000094";"000094";"000094";"PARTIDO SOCIALISTA OBRERO ESPAÑOL";"PSOE";89295;2;"S"
"02";"2019";"11";"1";"01";"04";"9";"Almería";709340;6;809;502621;502627;0;0;165047;242961;2661;2990;299763;0;0;"000116";"000116";"000116";"000116";"VOX";"VOX";80714;2;"S"
"02";"2019";"11";"1";"01";"04";"9";"Almería";709340;6;809;502621;502627;0;0;165047;242961;2661;2990;299763;0;0;"000083";"000083";"000083";"000083";"PARTIDO POPULAR";"PP";78072;2;"S"
"02";"2019";"11";"1";"01";"04";"9";"Almería";709340;6;809;502621;502627;0;0;165047;242961;2661;2990;299763;0;0;"000078";"000081";"000081";"000081";"UNIDAS PODEMOS";"PODEMOS-IU LV CA";24400;0;"S"
"02";"2019";"11";"1";"01";"04";"9";"Almería";709340;6;809;502621;502627;0;0;165047;242961;2661;2990;299763;0;0;"000018";"000018";"000018";"000018";"CIUDADANOS-PARTIDO DE LA CIUDADANÍA";"Cs";22835;0;"S"
"02";"2019";"11";"1";"01";"04";"9";"Almería";709340;6;809;502621;502627;0;0;165047;242961;2661;2990;299763;0;0;"000055";"000055";"000055";"000055";"PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL";"PACMA";2582;0;"S"
"02";"2019";"11";"1";"01";"04";"9";"Almería";709340;6;809;502621;502627;0;0;165047;242961;2661;2990;299763;0;0;"000023";"000023";"000023";"000023";"ESCAÑOS EN BLANCO";"EB";513;0;"S"
"02";"2019";"11";"1";"01";"04";"9";"Almería";709340;6;809;502621;502627;0;0;165047;242961;2661;2990;299763;0;0;"000098";"000098";"000098";"000098";"POR UN MUNDO MÁS JUSTO";"PUM+J";371;0;"S"
"02";"2019";"11";"1";"01";"04";"9";"Almería";709340;6;809;502621;502627;0;0;165047;242961;2661;2990;299763;0;0;"000101";"000101";"000101";"000101";"RECORTES CERO-GRUPO VERDE";"RECORTES CERO-GV";360;0;"S"
"02";"2019";"11";"1";"01";"04";"9";"Almería";709340;6;809;502621;502627;0;0;165047;242961;2661;2990;299763;0;0;"000009";"000009";"000009";"000009";"ANDALUCÍA POR SÍ";"AxSÍ";318;0;"S"
"02";"2019";"11";"1";"01";"04";"9";"Almería";709340;6;809;502621;502627;0;0;165047;242961;2661;2990;299763;0;0;"000061";"000058";"000058";"000058";"PARTIDO COMUNISTA DEL PUEBLO ANDALUZ";"PCPA";303;0;"S"
"02";"2019";"11";"1";"01";"11";"9";"Cádiz";1238714;9;1520;1002293;1002295;0;0;330440;504692;9221;8116;606858;0;0;"000094";"000094";"000094";"000094";"PARTIDO SOCIALISTA OBRERO ESPAÑOL";"PSOE";188271;3;"S"
"02";"2019";"11";"1";"01";"11";"9";"Cádiz";1238714;9;1520;1002293;1002295;0;0;330440;504692;9221;8116;606858;0;0;"000116";"000116";"000116";"000116";"VOX";"VOX";131205;2;"S"
"02";"2019";"11";"1";"01";"11";"9";"Cádiz";1238714;9;1520;1002293;1002295;0;0;330440;504692;9221;8116;606858;0;0;"000083";"000083";"000083";"000083";"PARTIDO POPULAR";"PP";111089;2;"S"
"02";"2019";"11";"1";"01";"11";"9";"Cádiz";1238714;9;1520;1002293;1002295;0;0;330440;504692;9221;8116;606858;0;0;"000078";"000081";"000081";"000081";"UNIDAS PODEMOS";"PODEMOS-IU LV CA";93541;1;"S"
"02";"2019";"11";"1";"01";"11";"9";"Cádiz";1238714;9;1520;1002293;1002295;0;0;330440;504692;9221;8116;606858;0;0;"000018";"000018";"000018";"000018";"CIUDADANOS-PARTIDO DE LA CIUDADANÍA";"Cs";55490;1;"S"
"02";"2019";"11";"1";"01";"11";"9";"Cádiz";1238714;9;1520;1002293;1002295;0;0;330440;504692;9221;8116;606858;0;0;"000046";"000044";"000044";"000044";"MÁS PAÍS-ANDALUCÍA";"MÁS PAÍS-AN";11316;0;"S"
"02";"2019";"11";"1";"01";"11";"9";"Cádiz";1238714;9;1520;1002293;1002295;0;0;330440;504692;9221;8116;606858;0;0;"000055";"000055";"000055";"000055";"PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL";"PACMA";8437;0;"S"
"02";"2019";"11";"1";"01";"11";"9";"Cádiz";1238714;9;1520;1002293;1002295;0;0;330440;504692;9221;8116;606858;0;0;"000009";"000009";"000009";"000009";"ANDALUCÍA POR SÍ";"AxSÍ";3509;0;"S"
"02";"2019";"11";"1";"01";"11";"9";"Cádiz";1238714;9;1520;1002293;1002295;0;0;330440;504692;9221;8116;606858;0;0;"000057";"000057";"000057";"000057";"PARTIDO COMUNISTA OBRERO ESPAÑOL";"PCOE";1739;0;"S"
"02";"2019";"11";"1";"01";"11";"9";"Cádiz";1238714;9;1520;1002293;1002295;0;0;330440;504692;9221;8116;606858;0;0;"000101";"000101";"000101";"000101";"RECORTES CERO-GRUPO VERDE";"RECORTES CERO-GV";915;0;"S"
"02";"2019";"11";"1";"01";"11";"9";"Cádiz";1238714;9;1520;1002293;1002295;0;0;330440;504692;9221;8116;606858;0;0;"000098";"000098";"000098";"000098";"POR UN MUNDO MÁS JUSTO";"PUM+J";707;0;"S"
"02";"2019";"11";"1";"01";"11";"9";"Cádiz";1238714;9;1520;1002293;1002295;0;0;330440;504692;9221;8116;606858;0;0;"000061";"000058";"000058";"000058";"PARTIDO COMUNISTA DEL PUEBLO ANDALUZ";"PCPA";639;0;"S"
"02";"2019";"11";"1";"01";"14";"9";"Córdoba";785240;6;935;648338;648341;0;0;234504;358996;5405;7399;438971;0;0;"000094";"000094";"000094";"000094";"PARTIDO SOCIALISTA OBRERO ESPAÑOL";"PSOE";146761;2;"S"
"02";"2019";"11";"1";"01";"14";"9";"Córdoba";785240;6;935;648338;648341;0;0;234504;358996;5405;7399;438971;0;0;"000083";"000083";"000083";"000083";"PARTIDO POPULAR";"PP";99999;2;"S"
"02";"2019";"11";"1";"01";"14";"9";"Córdoba";785240;6;935;648338;648341;0;0;234504;358996;5405;7399;438971;0;0;"000116";"000116";"000116";"000116";"VOX";"VOX";82534;1;"S"
"02";"2019";"11";"1";"01";"14";"9";"Córdoba";785240;6;935;648338;648341;0;0;234504;358996;5405;7399;438971;0;0;"000078";"000081";"000081";"000081";"UNIDAS PODEMOS";"PODEMOS-IU LV CA";64769;1;"S"
"02";"2019";"11";"1";"01";"14";"9";"Córdoba";785240;6;935;648338;648341;0;0;234504;358996;5405;7399;438971;0;0;"000018";"000018";"000018";"000018";"CIUDADANOS-PARTIDO DE LA CIUDADANÍA";"Cs";36229;0;"S"
"02";"2019";"11";"1";"01";"14";"9";"Córdoba";785240;6;935;648338;648341;0;0;234504;358996;5405;7399;438971;0;0;"000055";"000055";"000055";"000055";"PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL";"PACMA";3946;0;"S"
